No.;Quantity;Comment;Designator;Footprint;Value;Manufacturer Part;Manufacturer;Supplier Part;Supplier;Primary Category;Secondary Category;LCSC Stock;LCSC Price;Device;Name;Description;JLCPCB Part Class;LCSC Part Name;Mounting Type;Noise;Power(Watts);Voltage-Supply(Max);Voltage Rating (Max)
1;1;470uF;C1;CAP-TH_BD10.0-P5.00-D1.0-FD;;KM477M025G13RR0VH2FP0;Chengx(承兴);C44594;LCSC;;;;;470uF;470uF;;Extended Part;;;;;;
2;1;10uF;C2;C1206;10uF;CL31B106KBHNNNE;SAMSUNG(三星);C89632;LCSC;Capacitors;Multilayer Ceramic Capacitors MLCC - SMD/SMT;;;CL31B106KBHNNNE;10uF;Capacitance:10uF Tolerance:±10% Tolerance:±10% Voltage Rating:50V Temperature Coefficient:X7R ;Extended Part;10uF ±10% 50V;;;;;
3;5;100nF;C6,C7,C10,C22,C25;C0805;;CC0805KRX7R9BB104;YAGEO;C49678;LCSC;;;;;100nF;100nF;;Basic Part;;;;;;
4;1;470uF;C13;CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-RD;470uF;RVT1C471M0607;ROQANG(容强);C2977552;LCSC;Capacitors;Aluminum Electrolytic Capacitors - SMD;;;RVT1C471M0607;470uF;Capacitance:470uF Tolerance:±20% Tolerance:±20% Voltage Rating:16V Ripple Current:185mA@120Hz Diameter:6.3mm Height - Seated (Max):7.7mm Lifetime:2000hrs@105℃ Operating Temperature:-40℃~+105℃ Operating Temperature:-40℃~+105℃;Extended Part;470uF ±20% 16V;;;;;
5;2;22uF;C23,C24;C0603;22uF;CL10A226MQ8NRNC;SAMSUNG(三星);C59461;LCSC;Capacitors;Multilayer Ceramic Capacitors MLCC - SMD/SMT;;;CL10A226MQ8NRNC;22uF;Capacitance:22uF Tolerance:±20% Tolerance:±20% Voltage Rating:6.3V Temperature Coefficient:X5R;Basic Part;22uF ±20% 6.3V;;;;;
6;1;100uF;C27;CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD;100uF;RVT1E101M0605;ROQANG(容强);C2918360;LCSC;Capacitors;Aluminum Electrolytic Capacitors - SMD;;;RVT1E101M0605;100uF;Capacitance:100uF Tolerance:±20% Tolerance:±20% Voltage Rating:25V Ripple Current:78mA@120Hz Equivalent Series Resistance(ESR):- Diameter:6.3mm Height - Seated (Max):5.4mm Lifetime:2000hrs@105℃ Operating Temperature:-40℃~+105℃ Operating Temperature:-40℃~+;Extended Part;100uF ±20% 25V;;;;;
7;1;10uF;C28;C1210;10uF;CL32B106KAJNNNE;SAMSUNG(三星);C39232;LCSC;Capacitors;Multilayer Ceramic Capacitors MLCC - SMD/SMT;;;CL32B106KAJNNNE;10uF;Capacitance:10uF Tolerance:±10% Tolerance:±10% Voltage Rating:25V Temperature Coefficient:X7R;Extended Part;10uF ±10% 25V;;;;;
8;1;SS14;D1;SMA_L4.3-W2.7-LS5.0-RD;;SS14;DOWO(东沃);C6069588;LCSC;Diodes;Schottky Diodes;;;SS14_C6069588;SS14;Diode Configuration:Independent Voltage - Forward(Vf@If):550mV@1A Voltage - DC Reverse(Vr):40V Current - Rectified:1A Reverse Leakage Current (Ir):100uA@40V Operating Junction Temperature Range:-55℃~+150℃ Operating Junction Temperature Range:-55℃~+150℃ No;Extended Part;电压:40V 电流:1A;;;;;
9;1;FUSE5X20;F1;FUSE-TH_L24.4-W9.4-P22.60;;FUSE5X20;;C9900003668;LCSC;;;;;FUSE5X20;FUSE5X20;;Extended Part;FUSE5X20;;;;;
10;1;HX PH254-01-03-Z-L11.5 pcb pin header;H1;HDR-TH_3P-P2.54-V-M-1;;HX PH254-01-03-Z-L11.5 pcb pin header;hanxia(韩下);C52016391;LCSC;Connectors;Pin Headers;;;HX PH254-01-03-Z-L11.5 pcb pin header;HX PH254-01-03-Z-L11.5 pcb pin header;Pin Structure:1x3P Pitch:2.54mm Circluar Pins/Square Pins:Pin Header Mounting Type:Through Hole Number of Rows:1 Number of Pins:3P Current Rating:3A Voltage Rating (Max):1kV Length of Mating Pin:6mm Insulation Height:2.5mm Length of End Connection Pin:3mm;Extended Part;1x3P 间距:2.54mm 方针 直插;Through Hole;;;;1kV
11;1;PZ127V-11-04-0720;H2;HDR-TH_4P-P1.27-V-M;;PZ127V-11-04-0720;XFCN(兴飞);C541879;LCSC;Connectors;Pin Headers;;;PZ127V-11-04-0720;PZ127V-11-04-0720;Pin Structure:1x4P Pitch:1.27mm Row Spacing:- Circluar Pins/Square Pins:- Mounting Type:Through Hole Number of Rows:1 Number of Pins:4P Current Rating:- Voltage Rating (Max):- Length of Mating Pin:3.9mm Insulation Height:1mm Length of End Connection Pin:2;Extended Part;1x4P 间距:1.27mm 直插;Through Hole;;;;-
12;1;470uH;L1;IND-SMD_L13.5-W9.5;470uH;ASPI-0804T-471M-T;ABRACON;C187399;LCSC;Inductors, Coils, Chokes;Power Inductors;;;ASPI-0804T-471M-T;470uH;Inductance:470uH Tolerance:±20% Tolerance:±20% Current Rating:500mA Current - Saturation(Isat):- DC Resistance(DCR):1.27Ω Type:- Ratings:-;Extended Part;470uH ±20%;;;;;
13;1;3.9uH;L2;IND-SMD_L4.0-W4.0;3.9uH;ANR4030T3R9M;APV(爱普微);C6808101;LCSC;Inductors, Coils, Chokes;Power Inductors;;;ANR4030T3R9M;3.9uH;Inductance:3.9uH Tolerance:±20% Tolerance:±20% Current Rating:2.3A Current - Saturation(Isat):3.3A Type:Magnetic Shielded Inductor;Extended Part;3.9uH ±20% 3.3A 4x4x3mm;;;;;
14;1;AO3401;Q1;SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR;;AO3401;YONGYUTAI(永裕泰);C6575062;LCSC;Transistors/Thyristors;MOSFETs;;;AO3401_C6575062;AO3401;Number:1 P-Channel Drain to Source Voltage:30V Current - Continuous Drain(Id):4.1A RDS(on):65mΩ@4.5V,4A Pd - Power Dissipation:1.25W Gate Threshold Voltage (Vgs(th)):1.3V Input Capacitance(Ciss):870pF@0V Reverse Transfer Capacitance (Crss@Vds):10pF Operat;Extended Part;1个P沟道 耐压:30V 电流:4.1A;;;;;
15;1;S8050;Q3;SOT-23-3_L2.9-W1.3-P1.90-LS2.3-BR;;S8050;R+O(宏嘉诚);C20069125;LCSC;Transistors/Thyristors;Bipolar (BJT);;;S8050_C20069125;S8050;type:NPN Current - Collector(Ic):500mA Collector - Emitter Voltage VCEO:25V Pd - Power Dissipation:300mW DC Current Gain:120@50mA,1.0V DC Current Gain:120@50mA,1.0V Transition frequency(fT):100MHz Current - Collector Cutoff:100nA Vce Saturation(VCE(sat)):;Extended Part;hFE:200-350，丝印:J3Y NPN 500mA 25V;;;;;
16;2;4.7kΩ;R1,R2;R0603;4.7kΩ;0603WAF4701T5E;UNI-ROYAL(厚声);C23162;LCSC;Resistors;Chip Resistor - Surface Mount;;;0603WAF4701T5E;4.7kΩ;Type:Thick Film Resistor Resistance:4.7kΩ Tolerance:±1% Tolerance:±1% Power(Watts):100mW Voltage-Supply(Max):75V Temperature Coefficient:±100ppm/℃ Temperature Coefficient:±100ppm/℃ Operating Temperature:-55℃~+155℃ Operating Temperature:-55℃~+155℃;Basic Part;4.7kΩ ±1% 100mW 厚膜电阻;;;100mW;75V;
17;1;1kΩ;R3;R0603;;RC0603FR-071KL;YAGEO(国巨);C22548;LCSC;;;;;1kΩ;1kΩ;;Extended Part;;;;;;
18;2;10kΩ;R4,R5;R0603;;HoAR0603-1/10W-10KR-0.1%-TCR25;Milliohm(毫欧);C5123581;LCSC;;;;;10kΩ;10kΩ;;;;;;;;
19;1;10kΩ;R6;R0603;;0603WAF1002T5E;UNI-ROYAL(厚声);C25804;LCSC;;;;;10kΩ;10kΩ;;Basic Part;;;;;;
20;1;2.2kΩ;R8;R0805;2.2kΩ;0805W8F2201T5E;UNI-ROYAL(厚声);C17520;LCSC;Resistors;Chip Resistor - Surface Mount;;;0805W8F2201T5E_C17520;2.2kΩ;Type:Thick Film Resistor Resistance:2.2kΩ Tolerance:±1% Tolerance:±1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:±100ppm/℃ Temperature Coefficient:±100ppm/℃ Operating Temperature:-55℃~+155℃ Operating Temperature:-55℃~+155℃;Basic Part;2.2kΩ ±1% 125mW 厚膜电阻;;;125mW;150V;
21;1;470Ω;R17;R0603;470Ω;0603WAF4700T5E;UNI-ROYAL(厚声);C23179;LCSC;Resistors;Chip Resistor - Surface Mount;;;0603WAF4700T5E;470Ω;Type:Thick Film Resistor Resistance:470Ω Tolerance:±1% Tolerance:±1% Power(Watts):100mW Voltage-Supply(Max):75V Temperature Coefficient:±100ppm/℃ Temperature Coefficient:±100ppm/℃ Operating Temperature:-55℃~+155℃ Operating Temperature:-55℃~+155℃;Basic Part;470Ω ±1% 100mW 厚膜电阻;;;100mW;75V;
22;2;470Ω;RN1,RN2;RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL;470Ω;4D03WGJ0471T5E;UNI-ROYAL(厚声);C25510;LCSC;Resistors;Resistor Networks, Arrays;;;4D03WGJ0471T5E;470Ω;Number of Resistors: Resistance:470Ω Tolerance:±5% Tolerance:±5% Power(Watts):62.5mW Temperature Coefficient:±200ppm/℃ Temperature Coefficient:±200ppm/℃ Number of Pins:;Extended Part;470Ω ±5%;;;62.5mW;;
23;1;10kΩ;RN3;RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL;10kΩ;4D03WGJ0103T5E;UNI-ROYAL(厚声);C29718;LCSC;Resistors;Resistor Networks, Arrays;;;4D03WGJ0103T5E;10kΩ;Number of Resistors: Resistance:10kΩ Tolerance:±5% Tolerance:±5% Power(Watts): Temperature Coefficient:±200ppm/℃ Temperature Coefficient:±200ppm/℃ Number of Pins:;Basic Part;10kΩ ±5%;;;;;
24;1;TSR 1-2450_C6886877;U2;PWRM-TH_L11.7-W7.5_TSR1-2450;;TSR 1-2450;TRACO POWER;C6886877;LCSC;;;;;TSR 1-2450_C6886877;TSR 1-2450_C6886877;;Extended Part;;;;;;
25;1;Screw Terminal 5.08 2P;U3;CONN-TH_P5.08_KF127-5.08-2P;;KF127-5.08-2P;KEFA(科发);C474906;LCSC;;;;;Screw Terminal 5.08 2P;Screw Terminal 5.08 2P;;Extended Part;;;;;;
26;1;TMPS10-112;U4;TMPS10-112;;;;;Traco Power;;;;;TMPS10-112;TMPS10-112;;;;;;;;
27;10;PESD5V0S2BT_C5451656;U5,U6,U7,U18,U19,U20,U21,U22,U23,U32;SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR;;PESD5V0S2BT;HXY MOSFET(华轩阳电子);C5451656;LCSC;;;;;PESD5V0S2BT_C5451656;PESD5V0S2BT_C5451656;;Extended Part;;;;;;
28;2;B254N02-0B7P51-H85C32;U11,U12;HDR-TH_7P-P2.54-V-F;;B254N02-0B7P51-H85C32;JXTCONN(聚兴泰);C41426870;LCSC;Connectors;Female Headers;;;B254N02-0B7P51-H85C32;B254N02-0B7P51-H85C32;Holes Structure:1x7P Pitch:2.54mm Circular Hole / Square Hole:Square Hole Mounting Type:Through Hole Number of Rows:1 Number of Positions:7P Current Rating:3A Holes Direction:Top Contact Material:Copper Alloy Operating Temperature:-40℃~+105℃ Operating Tem;Extended Part;1x7P 间距:2.54mm 直插;Through Hole;;;;
29;1;FPC 0.5-14P LTH2.0;U17;FPC-SMD_14P-P0.50_FPC-0.5-14PLTH2.0;;FPC 0.5-14P LTH2.0;SHOU HAN(首韩);C6081225;LCSC;Connectors;FFC, FPC (Flat Flexible) Connector Assemblies;;;FPC 0.5-14P LTH2.0;FPC 0.5-14P LTH2.0;Locking Feature:Slide Lock Contact Type:Single-side Contact/Vertical Number of Contacts:14P Pitch:0.5mm Mounting Type:Surface Mount,Vertical FFC, FCB Thickness:0.3mm FFC, FCB Thickness:0.3mm Height Above Board:2mm Contact Material:Phosphor Bronze Contact;Extended Part;0.5-14P立贴正脚 编带;Surface Mount,Vertical;;;;
30;1;PCA9685PW,118;U26;TSSOP-28_L9.7-W4.4-P0.65-LS6.4-TL;-;PCA9685PW,118;NXP(恩智浦);C2678753;LCSC;LED Drivers;LED Drivers;;;PCA9685PW,118;PCA9685PW,118;Type:- Voltage - Input(DC):2.3V~5.5V Voltage - Input(DC):2.3V~5.5V Frequency - Switching:100kHz~1MHz Frequency - Switching:100kHz~1MHz Number of Channels:16 Output Voltage:- Output Voltage:- Output Current:25mA Dimming:PWM Operating temperature:-40℃~+85℃;Extended Part;16通道、12位PWM Fm+ I2C总线LED控制器;;;;;
31;1;10kΩ;U27;R0402;10kΩ;FRC0402F1002TS;FOJAN(富捷);C2906861;LCSC;Resistors;Chip Resistor - Surface Mount;;;FRC0402F1002TS;10kΩ;Type:Thick Film Resistor Resistance:10kΩ Tolerance:±1% Tolerance:±1% Power(Watts):62.5mW Voltage-Supply(Max):50V Temperature Coefficient:±100ppm/℃ Temperature Coefficient:±100ppm/℃ Operating Temperature:-55℃~+155℃ Operating Temperature:-55℃~+155℃;Extended Part;10kΩ ±1% 62.5mW 厚膜电阻;;;62.5mW;50V;
32;2;KF128-2.54-2P;U28,U29;CONN-TH_P2.54_KF128-2.54-2P;;KF128-2.54-2P;KEFA(科发);C474920;LCSC;Connectors;Screw Terminal Blocks;;;KF128-2.54-2P;KF128-2.54-2P;Structure:1x2P Pitch:2.54mm Color:Green Mounting Style:Straight Current Rating (Max):8A Voltage Rating (Max):130V Number of Pins:2P Number of Rows:1 Wire Gauge - AWG:18~26 Wire Gauge - AWG:18~26 Wire Gauge - mm2:1 Wire Gauge - mm2:1 Number of PINs Per Row;Extended Part;2.54mm 1x2P 排数:1 每排P数:2 直插;;;;;130V
33;2;KF128-2.54-4P;U30,U31;CONN-TH_4P-P2.54_KF128-2.54-4P;;KF128-2.54-4P;KEFA(科发);C474922;LCSC;Connectors;Screw Terminal Blocks;;;KF128-2.54-4P;KF128-2.54-4P;Number of Positions or Pins:1x4P Pitch:2.54mm Color:Green Mounting Type:Through Hole Number of Pins:4P Number of Rows:1 Number of PINs Per Row:4 Current Rating:8A Voltage Rating (Max):130V Wire Gauge - AWG:18~26 Wire Gauge - mm2:1 Wire Gauge - mm2:1 Opera;Extended Part;1x4P 2.54mm 直插 排数:1 每排P数:4;Through Hole;;;;130V
34;1;AP63203WU-7;U37;TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL;;AP63203WU-7;DIODES(美台);C780769;LCSC;Power Management (PMIC);DC-DC Converters;;;AP63203WU-7;AP63203WU-7;Function:Buck Voltage - Supply:3.8V~32V Voltage - Supply:3.8V~32V Output Voltage:3.3V Output Voltage:3.3V Output Current:2A Frequency - Switching:1.1MHz Frequency - Switching:1.1MHz Operating Temperature:-40℃~+85℃@(TA) Operating Temperature:-40℃~+85℃@(TA);Extended Part;3.8V至32V输入、2A低静态电流同步降压转换器，增强EMI抑制;;;;;
35;1;220pF@1kHz;V1;RES-TH_L12.5-W5.1-P7.50-D0.9-S5.10;;B72210S0271K101;TDK;C125511;LCSC;;;;;220pF@1kHz;220pF@1kHz;;Extended Part;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
